date,year,month,day,sales,region
2018-02-06,2018,2,6,1638.0,north
2018-02-06,2018,2,6,1647.0,south
2018-02-06,2018,2,6,1731.0,east
2018-02-06,2018,2,6,1557.0,west
2018-02-07,2018,2,7,1587.0,north
2018-02-07,2018,2,7,1698.0,south
2018-02-07,2018,2,7,1542.0,east
2018-02-07,2018,2,7,1635.0,west
2018-02-08,2018,2,8,1602.0,north
2018-02-08,2018,2,8,1536.0,south
2018-02-08,2018,2,8,1503.0,east
2018-02-08,2018,2,8,1701.0,west
2018-02-09,2018,2,9,1758.0,north
2018-02-09,2018,2,9,1662.0,south
2018-02-09,2018,2,9,1782.0,east
2018-02-09,2018,2,9,1515.0,west
2018-02-10,2018,2,10,1662.0,north
2018-02-10,2018,2,10,1557.0,south
2018-02-10,2018,2,10,1650.0,east
2018-02-10,2018,2,10,1674.0,west
2018-02-11,2018,2,11,1554.0,north
2018-02-11,2018,2,11,1587.0,south
2018-02-11,2018,2,11,1563.0,east
2018-02-11,2018,2,11,1764.0,west
2018-02-12,2018,2,12,1758.0,north
2018-02-12,2018,2,12,1608.0,south
2018-02-12,2018,2,12,1569.0,east
2018-02-12,2018,2,12,1653.0,west
2018-02-13,2018,2,13,1572.0,north
2018-02-13,2018,2,13,1716.0,south
2018-02-13,2018,2,13,1773.0,east
2018-02-13,2018,2,13,1725.0,west
2018-02-14,2018,2,14,1767.0,north
2018-02-14,2018,2,14,1710.0,south
2018-02-14,2018,2,14,1698.0,east
2018-02-14,2018,2,14,1512.0,west
2018-02-15,2018,2,15,1746.0,north
2018-02-15,2018,2,15,1734.0,south
2018-02-15,2018,2,15,1524.0,east
2018-02-15,2018,2,15,1614.0,west
2018-02-16,2018,2,16,1578.0,north
2018-02-16,2018,2,16,1782.0,south
2018-02-16,2018,2,16,1527.0,east
2018-02-16,2018,2,16,1752.0,west
2018-02-17,2018,2,17,1785.0,north
2018-02-17,2018,2,17,1689.0,south
2018-02-17,2018,2,17,1641.0,east
2018-02-17,2018,2,17,1575.0,west
2018-02-18,2018,2,18,1644.0,north
2018-02-18,2018,2,18,1674.0,south
2018-02-18,2018,2,18,1551.0,east
2018-02-18,2018,2,18,1737.0,west
2018-02-19,2018,2,19,1563.0,north
2018-02-19,2018,2,19,1647.0,south
2018-02-19,2018,2,19,1605.0,east
2018-02-19,2018,2,19,1539.0,west
2018-02-20,2018,2,20,1698.0,north
2018-02-20,2018,2,20,1575.0,south
2018-02-20,2018,2,20,1500.0,east
2018-02-20,2018,2,20,1551.0,west
2018-02-21,2018,2,21,1737.0,north
2018-02-21,2018,2,21,1542.0,south
2018-02-21,2018,2,21,1665.0,east
2018-02-21,2018,2,21,1548.0,west
2018-02-22,2018,2,22,1635.0,north
2018-02-22,2018,2,22,1632.0,south
